user,mean_logon_count,std_logon_count,total_logon_volume,mean_unique_pcs,std_unique_pcs,mean_activity_hour,activity_hour_std,cluster_id
AAB0162,1.0,0.0,5.87493073085203,1.0,0.0,7.016901408450704,0.12908403461451334,2
AAB0398,1.0,0.0,5.877735781779639,1.0,0.0,6.0,0.0,2
AAC0610,0.9285714285714286,0.2578571306433723,5.934894195619588,1.0,0.0,7.384236453201971,2.7062155769432166,0
AAC0668,1.0,0.0,5.877735781779639,1.0,0.0,7.556179775280899,0.49753308190492074,2
AAC3270,1.0,0.0,5.877735781779639,1.0,0.0,8.0,0.0,2
AAD2188,1.0,0.0,5.877735781779639,1.0,0.0,7.0,0.0,2
AAD3030,1.0,0.0,5.877735781779639,1.0,0.0,7.561797752808989,0.49686467519811117,2
AAF0819,1.0,0.10540925533894598,5.8916442118257715,1.005540166204986,0.07432884268180652,7.193905817174516,0.39590470513672793,2
AAF3937,1.0,0.0,5.877735781779639,1.0,0.0,7.553370786516854,0.49784310854086655,2
AAG1447,1.0,0.0,5.075173815233827,1.0,0.0,8.0,0.0,2
AAG3799,1.0,0.0,5.872117789475416,1.0,0.0,8.0,0.0,2
AAH0721,1.0,0.0,5.877735781779639,1.0,0.0,6.533707865168539,0.49956461499758276,2
AAM0138,1.0,0.0,5.877735781779639,1.0,0.0,7.544943820224719,0.49867683762556897,2
AAM0729,1.0,0.0,5.877735781779639,1.0,0.0,8.0,0.0,2
AAP0352,1.0027855153203342,0.09149922130327237,5.8888779583328805,1.0055710306406684,0.0745350193034529,7.164345403899722,0.37110593124668684,2
AAP1919,1.0,0.20739033894608505,5.924255797414532,1.0214477211796247,0.14506596785047546,7.061662198391421,0.2408640887289761,2
AAP1942,1.0,0.0,5.87493073085203,1.0,0.0,7.0,0.0,2
AAS0144,1.0,0.0,5.877735781779639,1.0,0.0,7.542134831460674,0.49892271982824826,2
AAS2987,1.0,0.0,5.877735781779639,1.0,0.0,8.0,0.0,2
AAS3428,1.018181818181818,0.14982560442581702,6.1070228877422545,1.018181818181818,0.14982560442581702,8.0,0.0,2
AAT2913,1.0,0.0,5.666426688112432,1.0,0.0,7.513888888888889,0.5006770483805582,2
AAV3669,1.0,0.0,5.877735781779639,1.0,0.0,7.547752808988764,0.4984149587631255,2
AAW0894,0.9919571045576407,0.21362130668817608,5.916202062607435,1.0187667560321716,0.13588254640957195,7.951742627345845,1.6339241036816867,2
ABB0300,1.0,0.0,5.153291594497779,1.0,0.0,8.0,0.0,2
ABC3523,1.0,0.0,5.877735781779639,1.0,0.0,7.0,0.0,2
