user,mean_logon_count,std_logon_count,total_logon_volume,mean_unique_pcs,std_unique_pcs,mean_activity_hour,activity_hour_std,cluster_id
AAB0162,0.0,0.0,0.0,1.0,0.0,18.036516853932586,0.1878363154591922,0
AAC0610,0.04739336492890995,0.2129840855971895,2.3978952727983707,1.0,0.0,17.137440758293838,0.6796855645898356,0
AAC0668,0.0,0.0,0.0,1.0,0.0,17.0,0.0,3
AAF0819,0.0056179775280898875,0.07484752660761988,1.0986122886681098,1.0084269662921348,0.09153955661734588,17.03370786516854,0.18073017486567916,3
AAF3937,0.0,0.0,0.0,1.0,0.0,17.0,0.0,3
AAG1447,0.0,0.0,0.0,1.0,0.0,17.589887640449437,0.49254611711048285,0
AAG3799,0.0,0.0,0.0,1.0,0.0,17.997191011235955,0.05299989400031794,0
AAH0721,0.0,0.0,0.0,1.0,0.0,17.514044943820224,0.5005061530510575,0
AAM0138,0.0,0.0,0.0,1.0,0.0,17.0,0.0,3
AAM0729,0.0,0.0,0.0,1.0,0.0,18.02247191011236,0.1484210295936425,0
AAP0352,0.0,0.0,0.0,1.0,0.0,17.0,0.0,3
AAP1919,0.0,0.0,0.0,1.0,0.0,17.0,0.0,3
AAR0641,0.0,0.0,0.0,1.0,0.0,17.0,0.0,3
AAS0144,0.0,0.0,0.0,1.0,0.0,17.55056179775281,0.4981370580117968,0
AAS3428,0.022727272727272728,0.1492023382896099,2.3978952727983707,1.0295454545454545,0.16952236996947115,17.0,0.0,0
AAT2913,0.0,0.0,0.0,1.0,0.0,17.0,0.0,3
AAV3669,0.0,0.0,0.0,1.0,0.0,18.54494382022472,0.49867683762556947,0
AAW0894,0.013812154696132596,0.11687220127473207,1.791759469228055,1.0082872928176796,0.09078204579144615,17.052486187845304,0.42758991677518476,0
ABB0167,0.0,0.0,0.0,1.0,0.0,17.0,0.0,3
ABB0300,0.061274509803921566,0.24012761377352046,3.258096538021482,1.0073529411764706,0.0855383468825358,19.443627450980394,0.6165279482627398,0
ABD3426,0.052980132450331126,0.22424147866719402,3.2188758248682006,1.0022075055187638,0.046984098573493976,17.161147902869757,0.7059108894389983,0
ABE2352,0.0,0.0,0.0,1.0,0.0,18.0,0.0,0
ABG2353,0.0,0.0,0.0,1.0,0.0,18.0,0.0,0
ABH0349,0.0,0.0,0.0,1.0056179775280898,0.07484752660761985,17.0,0.0,3
ABH1181,0.0,0.0,0.0,1.0,0.0,18.04494382022472,0.20747237302189547,0
ABH2671,0.0,0.0,0.0,1.0,0.0,17.0,0.0,3
ABJ0281,0.0,0.0,0.0,1.0,0.0,17.615384615384617,0.488860222000337,0
ABK3081,0.05555555555555555,0.2293163613132501,3.258096538021482,1.0044444444444445,0.06659238623505757,18.024444444444445,0.5558578736948667,0
